"geneID","length"
"acsl4.L",6027
"acsl4.S",6027
"acsl5.L",3054
"acsl6.L",3210
"acsm3.L",5409
"acss1.L",6051
"acss2.2.L",2600
"acss3.L",3465
"acta1.L",1477
"acta2.L",1636
"acta2.S",1636
"actb.L",4674
"actc1.L",1420
"actc1.S",1420
"actg1.L",2131
"actg1.S",2131
"actl6a.S",1991
"actn1.L",3978
"actn1.S",3978
"actn2.L",5927
"actn2.S",5927
"actn3.L",5614
"actn4.L",3981
"actn4.S",3981
"actr10.L",2193
"actr10.S",2193
"actr1a.L",2028
"actr1a.S",2028
"actr2.L",2518
"actr2.S",2518
"actr3.L",1788
"actr3.S",1788
"actr5.S",6510
"actr6.L",1533
"actr8.S",3561
"acvr1.L",2700
"acvr1.S",2700
"acvr1b.L",2936
"acvr1b.S",2936
"acvr1c.L",4348
"acvr2a.L",2339
"acvr2a.S",2339
"acvr2b.L",17200
"acvr2b.S",17200
"acvrl1.L",2670
"acvrl1.S",2670
"acy1.1.S",1720
"acy3.L",1797
"acyp2.L",2719
"ada.2.S",1517
"ada.S",4906
"adad1.L",3962
"adad2.S",1856
"adal.L",1316
"adam10.S",4202
"adam11.L",5542
"adam12.L",6909
"adam12.S",6909
"adam15.L",3913
"adam17.L",6033
"adam17.S",6033
"adam19.S",5928
"adam22.L",6602
"adam33.L",7105
"adam33.S",7105
"adam9.L",5868
"adam9.S",5868
"adamts1.L",4684
"adamts1.S",4684
"adamts10.L",6605
"adamts15.L",3413
"adamts16.L",4242
"adamts17.S",11745
"adamts18.L",4244
"adamts2.S",3907
"adamts3.S",4585
"adamts4.L",4058
"adamts5.S",14436
"adamts6.S",5066
"adamts9.S",6948
"adamtsl3.L",7564
"adamtsl4.S",5060
"adamtsl5.L",2848
"adamtsl5.S",2848
"adap1.L",8818
"adap2.S",4218
"adar.S",4577
"adarb1.L",4494
"adarb1.S",4494
"adat2.L",1493
"adck1.L",2213
"adck5.L",2373
"adcy1.L",4742
"adcy4.L",6257
"adcy4.S",6257
"adcy5.S",5661
"adcy6.S",5188
"adcy7.L",8272
"adcy8.L",4013
"adcy8.S",4013
"adcyap1.L",2149
"adcyap1r1.S",6573
"add1.L",6723
"add1.S",6723
"add2.L",3352
"add2.S",3352
"adgb.L",5045
"adgra2.L",5992
"adgra3.L",4965
"adgrb2.S",5668
"adgrf1.L",5337
"adgrf1.S",5337
"adgrg1.L",2322
"adgrg1.S",2322
"adgrg2.L",4562
"adgrg2.S",4562
"adgrl2.L",7227
"adgrl2.S",7227
"adgrl4.L",4151
"adgrl4.S",4151
"adh1a.S",3127
"adh1c.L",1837
"adh1c.S",1837
"adh4",2313
"adh5.L",1572
"adh5.S",1572
"adh6.L",1839
"adhfe1.S",1630
"adipoq.L",1278
"adipoq.S",1278
"adipor1.L",1458
"adipor1.S",1458
"adipor2.L",3904
"adipor2.S",3904
"adm.L",2180
"adm.S",2180
"admp.L",2216
"admp.S",2216
"admp2.L",4143
"admp2.S",4143
"adnp.L",16490
"adnp.S",16490
"adnp2.L",6081
"adnp2.S",6081
"ado.L",9565
"adora1.L",2260
"adora1.S",2260
"adora2a.L",1860
"adora2a.S",1860
"adora2b.S",2466
"adprh",2822
"adprh.S",2822
"adprm.L",3034
"adra1a.L",3495
"adra1a.S",3495
"adra1d.L",3655
"adra2a.L",1664
"adra2b.L",1233
"adra2c.L",3476
"adrb2.L",3695
"adrb2.S",3695
"adrm1.L",3514
"adrm1.S",3514
"adsl.L",1894
"adtrp.L",2581
"adtrp.S",2581
"aebp1.L",4564
"aebp1.S",4564
"aebp2.S",5017
"aen.L",2504
"aen.S",2504
"afap1.L",8151
"afap1.S",8151
"afap1l1.S",4113
"afap1l2.L",6608
"afap1l2.S",6608
"aff1.L",6928
"aff2.L",4494
"aff4.L",10768
"aff4.S",10768
"afg3l1p.L",4218
"afg3l1p.S",4218
"afmid.L",1066
"aftph.L",4011
"aftph.S",4011
"ag1.L",2001
"ag1.S",2001
"aga.L",2676
"agap1.L",4614
"agap1.S",4614
"agbl1.L",4215
"agbl1.S",4215
"agbl2.L",7078
"agbl3.S",5121
"agbl4.L",1812
"agfg1.L",2476
"agfg1.S",2476
"aggf1.S",3262
"agk.S",3928
"agl.L",6225
"agl.S",6225
"agmat.L",6553
"agmat.S",6553
"ago1.L",7044
"ago1.S",7044
"ago2.L",3643
"ago4.L",5388
"ago4.S",5388
"agpat1.L",2606
"agpat1.S",2606
"agpat2.L",2454
"agpat2.S",2454
"agpat3.L",6779
"agpat3.S",6779
"agpat4.L",1664
"agpat4.S",1664
"agps.L",3815
"agr2.L",933
"agr2.S",933
"agt.S",2291
"agtpbp1.L",4151
"agtpbp1.S",4151
"agtr1.L",4884
"agtr1.S",4884
"agtr2.L",3000
"agtrap.L",1660
"agxt.L",1614
"agxt2.S",1842
"ahctf1.L",7063
"ahctf1.S",7063
"ahcy.L",4423
"ahcy.S",4423
"ahcyl1.S",3207
"ahcyl2.L",3885
"ahcyl2.S",3885
"ahdc1.L",9175
"ahnak.L",22298
"ahnak.S",22298
"ahr.S",4074
"ahrr.L",3522
"ahsa1.L",1748
"ahsa1.S",1748
"ahsg.L",1188
"aicda.L",1852
"aida.L",2425
"aida.S",2425
"aif1l.L",4264
"aif1l.S",4264
"aifm1.L",4948
"aifm2.L",1937
"aifm2.S",1937
"aifm3.L",2778
"aifm3.S",2778
"aimp1.L",1419
"aimp1.S",1419
"aimp2.L",2011
"aimp2.S",2011
"aipl1.L",1493
"aire.L",2151
"ajap1.L",1954
"ajap1.S",1954
"ak1.L",2032
"ak1.S",2032
"ak2.L",1329
"ak2.S",1329
"ak3.L",1497
"ak3.S",1497
"ak4.L",1671
"ak4.S",1671
"ak6.L",1735
"ak6.S",1735
"ak7.S",2943
"ak8.L",3785
"ak8.S",3785
"akap1.S",4364
"akap10.L",3193
"akap11.L",6299
"akap11.S",6299
"akap12.L",17117
"akap12.S",17117
"akap13.S",10678
"akap14.S",1574
"akap17a.L",2537
"akap17a.S",2537
"akap6.L",6136
"akap8.L",2240
"akap8l.L",1668
"akirin1.L",2617
"akirin1.S",2617
"akirin2.S",1539
"akna.L",9030
"akna.S",9030
"akr1a1.L",1528
"akr1a1.S",1528
"akr1b1.L",5606
"akr1b1.S",5606
"akr1c3.L",4398
"akr1c4.S",2095
"akr7a2.L",3916
"akr7a2.S",3916
"akt1.S",2440
"akt1s1.S",2278
"akt2.L",3262
"akt2.S",3262
"aktip.L",2918
"aktip.S",2918
"alad.L",1460
"alas1.L",2192
"alas1.S",2192
"alas2.S",2731
"alb.L",3592
"alb.S",3592
"alcam.L",4552
"alcam.S",4552
"aldh16a1.L",3362
"aldh16a1.S",3362
"aldh18a1.L",3166
"aldh1a1.L",1698
"aldh1a2.L",3689
"aldh1a2.S",3689
"aldh1a3.L",2073
"aldh1a3.S",2073
"aldh1l1.L",3357
"aldh1l2.L",3703
"aldh1l2.S",3703
"aldh2.L",2165
"aldh3a2.L",2463
"aldh3a2.S",2463
"aldh3b1.L",2102
"aldh3b2.L",9228
"aldh4a1.L",6064
"aldh5a1.L",3624
"aldh6a1.L",2427
"aldh6a1.S",2427
"aldh7a1.L",2097
"aldh7a1.S",2097
"aldh9a1.S",1773
"aldoa.L",3160
"aldoa.S",3160
"aldob.L",4082
"aldob.S",4082
"aldoc.L",1878
"alg1.L",4302
"alg10.L",3615
"alg10.S",3615
"alg11.L",2084
"alg11.S",2084
"alg12.L",2012
"alg13.L",3541
"alg13.S",3541
"alg14.L",1512
"alg14.S",1512
"alg2.L",1518
"alg3.S",1629
"alg5.L",1332
"alg5.S",1332
"alg6",1827
"alg6.L",1827
"alg8.S",1810
"alkbh1.L",1722
"alkbh2.L",2367
"alkbh3.L",4429
"alkbh4.L",1064
"alkbh5.L",1780
"alkbh6.L",1096
"allc.L",2369
"alms1.L",10509
"alms1.S",10509
"alox12b.S",3310
"alox15b.L",6730
"alox5ap.L",2279
"alox5ap.S",2279
"alpi.1.L",2056
"alpi.2.L",2790
"alpk1.L",4682
"alpl.L",4542
"alpl.S",4542
"als2.L",6224
"als2.S",6224
"als2cl.L",6207
"alx1.L",1238
"alx4.L",7050
"alx4.S",7050
"alyref.L",1671
"alyref.S",1671
"amacr.L",1500
"ambn.L",1717
"ambn.S",1717
"ambp.L",1718
"ambp.S",1718
"ambra1.L",9044
"ambra1.S",9044
"amd1.L",2333
"amd1.S",2333
"amdhd1.L",1680
"amdhd2.S",2684
"amelx.L",975
"amelx.S",975
"amer1.S",7409
"amer2.L",2152
"amer2.S",2152
"amfr.L",6796
"amfr.S",6796
"amh.L",2771
"amh.S",2771
"amigo1.S",4157
"amigo2.L",5092
"ammecr1.L",2969
"ammecr1.S",2969
"ammecr1l.L",1440
"ammecr1l.S",1440
"amn.L",1947
"amot.L",6606
"amot.S",6606
"amotl1.L",4552
"amotl1.S",4552
"amotl2.S",2118
"ampd1.L",3200
"ampd2.S",2985
"amph.L",4093
"amy2a.L",1710
"amy2b.L",1750
"anapc1.S",7045
"anapc10.L",2042
"anapc10.S",2042
"anapc11.L",870
"anapc13.1.L",1389
"anapc15.L",3339
"anapc15.S",3339
"anapc16.L",1975
"anapc16.S",1975
"anapc2.L",3418
"anapc4.L",5462
"anapc5.L",2944
"anapc7.L",2698
"anapc7.S",2698
"angel1.L",2348
"angel1.S",2348
"angel2.L",3121
"angel2.S",3121
"angpt1.L",2944
"angpt1.S",2944
"angpt4.L",1215
"angpt4.S",1215
"angptl1.L",2796
"angptl1.S",2796
"angptl2.L",4669
"angptl2.S",4669
"angptl3.L",1534
"angptl4.L",2699
"angptl4.S",2699
"angptl6.L",2090
"angptl7.L",1773
"angptl7.S",1773
"ank1.L",15339
"ank1.S",15339
"ank3.S",16202
"ankar.L",4972
"ankdd1a.L",2020
"ankdd1a.S",2020
"ankdd1b.L",3726
"ankef1.L",2619
"ankfn1.S",4877
"ankh.S",3377
"ankhd1.S",8426
"ankib1.L",4154
"ankib1.S",4154
"ankk1.L",2851
"ankle2.L",4544
"ankmy1.L",4791
"ankmy1.S",4791
"ankra2.L",1865
"ankrd1.L",2484
"ankrd1.S",2484
"ankrd10.L",2896
"ankrd10.S",2896
"ankrd11.L",9698
"ankrd11.S",9698
"ankrd12.L",6786
"ankrd12.S",6786
"ankrd13a.L",2972
"ankrd13a.S",2972
"ankrd13b.L",4030
"ankrd13c.L",4112
"ankrd13c.S",4112
"ankrd16.L",1683
"ankrd2.L",1871
"ankrd2.S",1871
"ankrd22.L",4715
"ankrd22.S",4715
"ankrd24.L",4153
"ankrd27.L",4248
"ankrd29.L",1843
"ankrd31.L",4657
"ankrd31.S",4657
"ankrd34b.L",7619
"ankrd35.L",5878
"ankrd35.S",5878
"ankrd37.L",895
"ankrd39.L",1569
"ankrd39.S",1569
"ankrd42.L",1954
"ankrd45.L",1111
"ankrd45.S",1111
"ankrd46.L",4595
"ankrd46.S",4595
"ankrd49.S",3053
"ankrd50.L",6662
"ankrd50.S",6662
"ankrd52.L",3468
"ankrd52.S",3468
"ankrd53.L",1335
"ankrd54.L",2234
"ankrd54.S",2234
"ankrd55.L",3063
"ankrd6.L",3413
"ankrd6.S",3413
"ankrd63.L",2797
"ankrd65.L",2122
"ankrd9.L",888
"anks1a.S",4774
"anks1b.L",1526
"anks1b.S",1526
"anks3.L",2224
"ankub1.L",2145
"ankzf1.L",3226
"anln.L",4424
"ano1.L",6750
"ano10.L",6973
"ano2.L",3811
"ano2.S",3811
"ano5.L",8434
"ano6.L",3939
"ano7.L",4448
"ano8.S",5266
"anos1.S",6512
"anp32a.L",2872
"anp32a.S",2872
"anp32b.L",1782
"anp32c.L",2161
"anp32c.S",2161
"anp32e.L",3862
"anp32e.S",3862
"anpep.L",4290
"anpep.S",4290
"antxr1.S",2483
"antxr2.L",4596
"anxa10.L",1335
"anxa10.S",1335
"anxa11.L",2326
"anxa11.S",2326
"anxa13.L",1698
"anxa2.L",1305
"anxa2.S",1305
"anxa3.L",1309
"anxa3.S",1309
"anxa4.L",1166
"anxa4.S",1166
"anxa5.L",1555
"anxa5.S",1555
"anxa6.L",2638
"anxa6.S",2638
"anxa7.L",2610
"anxa7.S",2610
"anxa9.L",1764
"aoah.L",2407
"aox1.L",5726
"ap1ar.L",1420
"ap1ar.S",1420
"ap1b1.L",3301
"ap1b1.S",3301
"ap1g1.L",3456
"ap1g1.S",3456
"ap1g2.L",4024
"ap1g2.S",4024
"ap1m1.S",1815
"ap1m2.L",3007
"ap1m2.S",3007
"ap1s1.L",1359
"ap1s1.S",1359
"ap1s2.L",2759
"ap1s2.S",2759
"ap1s3.S",1488
"ap2a2.L",7928
"ap2b1.L",4422
"ap2b1.S",4422
"ap2m1.L",2338
"ap2m1.S",2338
"ap2s1.S",1517
"ap3b1.L",4324
"ap3b1.S",4324
"ap3b2.S",5763
"ap3d1.L",4072
"ap3d1.S",4072
"ap3m2.L",1959
"ap3m2.S",1959
"ap3s1.S",1489
"ap3s2.S",1806
"ap4b1.L",2691
"ap4e1.L",3818
"ap4m1.L",2390
"ap4m1.S",2390
"ap4s1.L",873
"ap5b1.L",3540
"ap5m1.L",1795
"ap5s1.L",1598
"ap5z1.S",1824
"apaf1.L",3901
"apba1.L",5115
"apba1.S",5115
"apba2.L",3581
"apba2.S",3581
"apba3.L",3454
"apba3.S",3454
"apbb1ip.L",3385
"apbb1ip.S",3385
"apbb3.L",2735
"apc.L",13308
"apc.S",13308
"apcdd1.L",2613
"apcdd1l.L",6347
"apcdd1l.S",6347
"apela.S",895
"apex1.L",2199
"apex2.L",3229
"aph1a.L",1853
"aph1a.S",1853
"api5.L",3756
"api5.S",3756
"apip.L",3347
"apip.S",3347
"aplf.L",2521
"apln.L",1482
"apln.S",1482
"aplp1.L",5881
"aplp2.L",4856
"aplp2.S",4856
"apmap.S",6648
"apoa1.L",1159
"apoa1.S",1159
"apoa5.L",2818
"apobec2.L",2507
"apobec4.S",2717
"apoe.L",1683
"apoe.S",1683
"apoh.L",4226
"apold1.L",3099
"apom.L",1032
"apoo.L",1389
"apool.L",1918
"app.L",6712
"appbp2.L",2150
"appbp2.S",2150
"appl1.L",2761
"appl1.S",2761
"appl2.L",3519
"aprt.L",1742
"aptx.L",1451
"aptx.S",1451
"aqp1.L",1968
"aqp1.S",1968
"aqp10.L",3225
"aqp11.L",2001
"aqp12a.S",2287
"aqp2.L",2522
"aqp2.S",2522
"aqp3.L",2590
"aqp3.S",2590
"aqp4.L",1287
"aqp5.L",1263
"aqp5.S",1263
"aqp8.L",1396
"aqp9.L",2002
"aqr.L",6076
"aqr.S",6076
"ar.L",3074
"araf.L",7046
"araf.S",7046
"arap2.L",5457
"arap2.S",5457
"arcn1.L",2295
"areg.S",981
"arel1.L",4008
"arf1.L",1850
"arf1.S",1850
"arf3.L",6126
"arf3.S",6126
"arf4",1542
"arf4.S",1542
"arf5.L",3574
"arf5.S",3574
"arf6.2.L",669
"arf6.2.S",669
"arfgap1.L",4111
"arfgap1.S",4111
"arfgap2.L",3975
"arfgap2.S",3975
"arfgap3.L",6604
"arfgap3.S",6604
"arfgef3.S",8048
"arfip1.L",2525
"arfip1.S",2525
"arfrp1.L",462
"arg1.L",2471
"arg2.L",2492
"arg2.S",2492
"arglu1.L",2090
"arglu1.S",2090
"arhgap1.L",5128
"arhgap1.S",5128
"arhgap10.L",3411
"arhgap10.S",3411
"arhgap11a.1.L",3697
"arhgap11a.2.L",2646
"arhgap11a.2.S",2646
"arhgap12.L",4998
"arhgap12.S",4998
"arhgap17.S",6071
"arhgap18.L",3086
"arhgap19.L",2188
"arhgap20.L",5621
"arhgap20.S",5621
"arhgap21.L",7761
"arhgap21.S",7761
"arhgap22.L",2042
"arhgap23.L",9252
"arhgap23.S",9252
"arhgap25.S",2874
"arhgap26.L",4334
"arhgap29.L",5537
"arhgap29.S",5537
"arhgap30.L",4836
"arhgap30.S",4836
"arhgap31.L",8691
"arhgap32.L",10811
"arhgap35.L",5789
"arhgap35.S",5789
"arhgap36.L",4819
"arhgap40.L",4299
"arhgap40.S",4299
"arhgap42.S",3448
"arhgap44.L",7642
"arhgap5.L",5824
"arhgap5.S",5824
"arhgap9.L",3290
"arhgap9.S",3290
"arhgdia.L",3403
"arhgdib.L",1095
"arhgdib.S",1095
"arhgdig.L",1366
"arhgef10.L",4940
"arhgef10.S",4940
"arhgef10l.L",5377
"arhgef11.L",6244
"arhgef11.S",6244
"arhgef12.S",5272
"arhgef16.L",3840
"arhgef16.S",3840
"arhgef17.L",10740
"arhgef2.L",4970
"arhgef2.S",4970
"arhgef25.L",9286
"arhgef25.S",9286
"arhgef26.L",3748
"arhgef28.L",6541
"arhgef28.S",6541
"arhgef3.1.S",12706
"arhgef3.2.L",3054
"arhgef33.L",4297
"arhgef37.L",3703
"arhgef37.S",3703
"arhgef39.L",2594
"arhgef4.L",2568
"arhgef7.S",11309
"arhgef9.L",14325
"arid2.L",8227
"arid2.S",8227
"arid3a.L",2350
"arid3a.S",2350
"arid3b.L",5482
"arid4a.L",5451
"arid4b.L",5578
"arid5b.L",6744
"arih1.L",2929
"arih1.S",2929
"arih2.L",2299
"arih2.S",2299
"arl1.L",1633
"arl1.S",1633
"arl10.L",1995
"arl10b.L",2995
"arl10b.S",2995
"arl11",2309
"arl11.L",2309
"arl11.S",2309
"arl13a.L",2781
"arl13b.L",4584
"arl14.S",1962
"arl14ep.L",6808
"arl14ep.S",6808
"arl14epl.L",1714
"arl14epl.S",1714
"arl15.L",2857
"arl16.L",1390
"arl2.L",7571
"arl2bp.L",4859
"arl2bp.S",4859
"arl4a.L",3051
"arl4a.S",3051
"arl4c.L",582
"arl4c.S",582
"arl5a.S",1803
"arl5b.S",4190
"arl5c.L",2376
"arl6",4741
"arl6.L",4741
"arl6ip1.L",1798
"arl6ip1.S",1798
"arl6ip4.L",1627
"arl6ip5.L",2998
"arl6ip5.S",2998
"arl6ip6.L",1479
"arl6ip6.S",1479
"arl8a.S",1145
"arl8b.L",3970
"arl8b.S",3970
"arl9.L",1627
"armc1.L",1620
"armc1.S",1620
"armc10.L",1999
"armc2.L",4216
"armc3.L",6011
"armc5.L",4080
"armc6.L",2364
"armc7.L",2688
"armc8.L",3673
"armc8.S",3673
"armc9.L",4109
"armt1.L",4109
"arnt.L",3290
"arnt.S",3290
"arnt2.L",3787
"arnt2.S",3787
"arntl.L",3328
"arntl.S",3328
"arntl2.L",4439
"arntl2.S",4439
"arpc1a.L",6081
"arpc1a.S",6081
"arpc1b.L",5559
"arpc1b.S",5559
"arpc2.S",2740
"arpc3.L",982
"arpc4.S",1505
"arpc5.L",1877
"arpc5.S",1877
"arpc5l.L",3462
"arpc5l.S",3462
"arpin.L",1845
"arpp19.L",2375
"arpp19.S",2375
"arr3.L",1949
"arrb1.L",5735
"arrb2.L",4252
"arrb2.S",4252
"arrdc1.L",1179
"arrdc1.S",1179
"arrdc2.L",2779
"arrdc2.S",2779
"arrdc3.S",1930
"arrdc4.L",1555
"arrdc4.S",1555
"arsa.2.L",1676
"arsb.L",11176
"arsd.L",4549
"arsg.L",2101
"arsh.L",3095
"arsk.L",2400
"art1.L",2270
"art1.S",2270
"art5.L",11937
"art5.S",11937
"artn.L",1875
"artn.S",1875
"arv1.S",3202
"arvcf.L",4665
"arvcf.S",4665
"arx.L",3108
"arx.S",3108
"as3mt.2.L",2351
"asah1.L",2032
"asap2.L",6991
"asb1.L",2339
"asb11.L",1264
"asb12.2.L",2047
"asb12.2.S",2047
"asb12.L",1522
"asb13.L",1631
"asb15.L",1991
"asb16.L",6142
"asb18.L",2178
"asb2.L",2968
"asb2.S",2968
"asb3.S",2243
"asb4.S",3146
"asb5.L",1834
"asb5.S",1834
"asb6.S",2531
"asb7.L",1983
"asb7.S",1983
"asb8.L",1757
"asb9.L",1685
"ascc1.L",1621
"ascc2.S",2858
"ascc3.L",9848
"ascl1.L",1839
"asf1a.L",1224
"asf1b.L",1920
"asf1b.S",1920
"ash2l.L",2128
"ash2l.S",2128
"asic4.S",7349
"asl.L",1173
"asmt.S",1643
"asmtl.L",2280
"asns.L",1859
"asnsd1.L",3486
"aspg.L",6602
"aspg.S",6602
"asph.L",3397
"asph.S",3397
"asphd2.L",2819
"asphd2.S",2819
"aspn.L",1878
"aspscr1.S",2602
"asrgl1.L",2070
"ass1.S",2534
"aste1.L",3606
"astl.L",3876
"astn1.S",4137
"astn2.L",9324
"asxl1.L",3543
"asxl1.S",3543
"asxl3.L",8453
"asxl3.S",8453
"asz1.L",2004
"atad1.L",3858
"atad1.S",3858
"atad2.L",4528
"atad2b.L",7378
"atad2b.S",7378
"atad3a.L",2226
"atad3a.S",2226
"atad5.L",7035
"atad5.S",7035
"atat1.S",1508
"atcay.L",2414
"atcay.S",2414
"ate1.L",3974
"ate1.S",3974
"atf1.S",1407
"atf3.L",3743
"atf3.S",3743
"atf4.L",1479
"atf4.S",1479
"atf5.2.S",2447
"atf5.L",2352
"atf6.L",2683
"atf6.S",2683
"atf6b.L",3103
"atf7.S",3820
"atf7ip.L",5197
"atf7ip.S",5197
"atf7ip2.S",5943
"atg101.L",1808
"atg101.S",1808
"atg12.S",1762
"atg13.L",6080
"atg13.S",6080
"atg14.L",2295
"atg16l1.S",3136
"atg2a.L",11175
"atg2b.L",7216
"atg2b.S",7216
"atg3.S",1259
"atg4a.L",2452
"atg4a.S",2452
"atg4b.L",2049
"atg4c.L",2081
"atg4c.S",2081
"atg4d.L",2929
"atg4d.S",2929
"atg5.L",1736
"atg7.L",3255
"atg9b.S",6329
"atic.L",1917
"atic.S",1917
"atl1.L",2708
"atl1.S",2708
"atl2.L",6845
"atl3.L",8225
"atm.L",10120
"atmin.L",5028
"atoh7.L",420
"atoh7.S",420
"atoh8.L",5561
"atoh8.S",5561
"atox1.L",833
"atox1.S",833
"atp10d.L",7502
"atp11a.L",11102
"atp11a.S",11102
"atp11c.L",5565
"atp11c.S",5565
"atp13a-like.L",4372
"atp13a-like.S",4372
"atp13a1.L",3801
"atp13a4.S",5100
"atp1a1.L",4266
"atp1a1.S",4266
"atp1a2.L",3656
"atp1a2.S",3656
"atp1a3.L",3336
"atp1b1.L",2273
"atp1b1.S",2273
"atp1b2",2007
"atp1b2.S",2007
"atp1b3.L",1743
"atp1b3.S",1743
"atp1b4.L",1557
"atp2a1.L",4477
"atp2a2.S",3938
"atp2a3.L",4250
"atp2a3.S",4250
"atp2b1.L",5871
"atp2b1.S",5871
"atp2b4.L",6987
"atp2b4.S",6987
"atp2c2.L",3431
"atp2c2.S",3431
"atp4a.L",5519
"atp4a.S",5519
"atp4b.L",2106
"atp4b.S",2106
"ATP6",683
"atp6ap1.1.S",1900
"atp6ap1.2.L",2973
"atp6ap1.2.S",2973
"atp6ap1l.L",1742
"atp6ap2.L",1807
"atp6ap2.S",1807
"atp6v0a1.L",4458
"atp6v0a1.S",4458
"atp6v0a4.L",3469
"atp6v0b.L",2404
"atp6v0d1.L",8416
"atp6v0d2.L",1946
"atp6v0d2.S",1946
"atp6v0e1.L",1043
"atp6v1a.L",4297
"atp6v1a.S",4297
"atp6v1b1.L",3673
"atp6v1b2.S",2486
"atp6v1c1.L",1959
"atp6v1c1.S",1959
"atp6v1c2.L",1579
"atp6v1c2.S",1579
"atp6v1d.L",1237
"atp6v1d.S",1237
"atp6v1e1.L",3546
"atp6v1e1.S",3546
"atp6v1f.S",1053
"atp6v1g1.L",2967
"atp6v1g3.L",892
"atp6v1g3.S",892
"atp6v1h.L",1714
"atp6v1h.S",1714
"atp7a.L",6902
"ATP8",168
"atp8a1.L",3893
"atp8a1.S",3893
"atp8b1.L",4903
"atp8b1.S",4903
"atp8b3.L",4637
"atp8b4.L",4935
"atp8b4.S",4935
"atp9b.L",7030
"atpaf1.S",2061
"atpaf2.L",1796
"atpaf2.S",1796
"atraid.S",3734
"atrip.L",3568
"atrip.S",3568
"atrn.L",6227
"atrn.S",6227
"atrnl1.L",4038
"atxn1.L",3996
"atxn1.S",3996
"atxn10.L",6552
"atxn1l.L",8525
"atxn1l.S",8525
"atxn2.L",4010
